SRC, 14.9, 15.9, 13.9
SRF, 18.0, 19.25, 16.75
SSC, 65.5, 70.0, 61.0
SSI, 41.05, 43.9, 38.2
ST8, 18.2, 19.45, 16.95
STB, 16.0, 17.1, 14.9
STG, 20.0, 21.4, 18.6
STK, 16.3, 17.4, 15.2
STT, 9.4, 10.05, 8.75
SVC, 46.0, 49.2, 42.8
SVI, 46.3, 49.5, 43.1
SVT, 5.81, 6.21, 5.41
SZL, 34.4, 36.8, 32.0
TAC, 53.9, 57.6, 50.2
TBC, 25.0, 26.75, 23.25
TCD, 17.75, 18.95, 16.55
TCH, 20.2, 21.6, 18.8
TCL, 27.5, 29.4, 25.6
TCM, 25.7, 27.45, 23.95
TCO, 12.9, 13.8, 12.0
TCR, 3.2, 3.42, 2.98
TCT, 70.0, 74.9, 65.1
TDC, 8.77, 9.38, 8.16
TDG, 13.35, 14.25, 12.45
TDH, 15.9, 17.0, 14.8
TDW, 19.5, 20.85, 18.15
TEG, 8.9, 9.52, 8.28
THG, 39.5, 42.25, 36.75
THI, 41.5, 44.4, 38.6
TIE, 9.8, 10.45, 9.12
TIP, 16.0, 17.1, 14.9
TIX, 30.1, 32.2, 28.0
TLD, 18.85, 20.15, 17.55
TLG, 100.9, 107.9, 93.9
TLH, 11.65, 12.45, 10.85
TMP, 32.5, 34.75, 30.25
TMS, 41.2, 44.05, 38.35
TMT, 8.59, 9.19, 7.99
TNA, 41.1, 43.95, 38.25
TNC, 13.0, 13.9, 12.1
TNI, 5.91, 6.32, 5.5
TNT, 2.6, 2.78, 2.42
TPC, 10.3, 11.0, 9.58
TRA, 105.9, 113.3, 98.5
TRC, 28.8, 30.8, 26.8
TS4, 7.79, 8.33, 7.25
TSC, 2.4, 2.56, 2.24
TTF, 6.3, 6.74, 5.86
TV1, 17.05, 18.2, 15.9
TVS, 13.0, 13.9, 12.1
TVT, 24.3, 26.0, 22.6
TYA, 12.1, 12.9, 11.3
UDC, 3.49, 3.73, 3.25
UIC, 29.0, 31.0, 27.0
VAF, 10.8, 11.55, 10.05
VCB, 74.0, 79.1, 68.9
VCF, 181.0, 193.6, 168.4
VCI, 100.6, 107.6, 93.6
VDP, 34.8, 37.2, 32.4
VDS, 13.95, 14.9, 13.0
VFG, 37.05, 39.6, 34.5
VHC, 54.0, 57.7, 50.3
VHG, 1.09, 1.16, 1.02
VIC, 104.2, 111.4, 97.0
VID, 14.4, 15.4, 13.4
VIP, 7.1, 7.59, 6.61
VIS, 34.75, 37.15, 32.35
VJC, 204.9, 219.2, 190.6
VMD, 21.4, 22.85, 19.95
VND, 29.05, 31.05, 27.05
VNE, 6.86, 7.34, 6.38
VNG, 16.15, 17.25, 15.05
VNL, 18.65, 19.95, 17.35
VNM, 209.0, 223.6, 194.4
VNS, 14.25, 15.2, 13.3
VOS, 2.5, 2.67, 2.33
VPB, 65.4, 69.9, 60.9
VPD, 14.8, 15.8, 13.8
VPG, 19.0, 20.3, 17.7
VPH, 9.5, 10.15, 8.84
VPK, 6.3, 6.74, 5.86
VPS, 17.4, 18.6, 16.2
VRC, 21.6, 23.1, 20.1
VRE, 52.8, 56.4, 49.15
VSC, 41.5, 44.4, 38.6
VSH, 17.7, 18.9, 16.5
VSI, 19.8, 21.15, 18.45
VTB, 16.7, 17.85, 15.55
VTO, 8.35, 8.93, 7.77
ACB, 48.4, 53.2, 43.6
ACM, 1.1, 1.2, 1.0
ADC, 17.1, 18.8, 15.4
ALT, 12.3, 13.5, 11.1
ALV, 10.4, 11.4, 9.4
AMC, 25.0, 27.5, 22.5
AME, 13.7, 15.0, 12.4
AMV, 16.5, 18.1, 14.9
API, 25.5, 28.0, 23.0
APP, 9.9, 10.8, 9.0
APS, 3.0, 3.3, 2.7
ARM, 56.4, 62.0, 50.8
ASA, 3.0, 3.3, 2.7
ATS, 43.7, 48.0, 39.4
B82, 2.4, 2.6, 2.2
BAX, 25.0, 27.5, 22.5
BBS, 8.8, 9.6, 8.0
BCC, 7.2, 7.9, 6.5
BDB, 3.5, 3.8, 3.2
BED, 35.0, 38.5, 31.5
BHT, 4.0, 4.4, 3.6
BII, 1.1, 1.2, 1.0
BKC, 9.1, 10.0, 8.2
BLF, 3.5, 3.8, 3.2
BPC, 18.0, 19.8, 16.2
BSC, 14.4, 15.8, 13.0
BST, 10.1, 11.1, 9.1
BTS, 4.5, 4.9, 4.1
BTW, 15.9, 17.4, 14.4
BVS, 19.2, 21.1, 17.3
BXH, 14.9, 16.3, 13.5
C69, 4.7, 5.1, 4.3
C92, 10.0, 11.0, 9.0
CAG, 42.9, 47.1, 38.7
CAN, 28.0, 30.8, 25.2
CAP, 33.2, 36.5, 29.9
CCM, 24.2, 26.6, 21.8
CDN, 18.9, 20.7, 17.1
CEO, 11.9, 13.0, 10.8
CET, 3.9, 4.2, 3.6
CIA, 38.6, 42.4, 34.8
CJC, 23.5, 25.8, 21.2
CKV, 20.6, 22.6, 18.6
CLH, 14.5, 15.9, 13.1
CLM, 14.4, 15.8, 13.0
CMC, 5.6, 6.1, 5.1
CMI, 1.4, 1.5, 1.3
CMS, 3.6, 3.9, 3.3
CPC, 36.3, 39.9, 32.7
CSC, 24.9, 27.3, 22.5
CT6, 6.5, 7.1, 5.9
CTA, 0.6, 0.7, 0.5
CTB, 32.2, 35.4, 29.0
CTC, 3.9, 4.2, 3.6
CTP, 8.7, 9.5, 7.9
CTT, 7.4, 8.1, 6.7
CTX, 25.7, 28.2, 23.2
CVN, 7.4, 8.1, 6.7
CX8, 10.0, 11.0, 9.0
D11, 15.7, 17.2, 14.2
DAD, 18.2, 20.0, 16.4
DAE, 17.4, 19.1, 15.7
DBC, 23.9, 26.2, 21.6
DBT, 16.2, 17.8, 14.6
DC2, 6.5, 7.1, 5.9
DC4, 11.4, 12.5, 10.3
DCS, 1.7, 1.8, 1.6
DGC, 32.0, 35.2, 28.8
DGL, 33.5, 36.8, 30.2
DHP, 11.5, 12.6, 10.4
DHT, 65.8, 72.3, 59.3
DID, 5.0, 5.5, 4.5
DIH, 13.5, 14.8, 12.2
DL1, 45.2, 49.7, 40.7
DLR, 9.4, 10.3, 8.5
DNC, 35.0, 38.5, 31.5
DNM, 19.0, 20.9, 17.1
DNP, 19.6, 21.5, 17.7
DNY, 6.4, 7.0, 5.8
DP3, 69.0, 75.9, 62.1
DPC, 18.0, 19.8, 16.2
DPS, 1.7, 1.8, 1.6
DS3, 17.9, 19.6, 16.2
DST, 3.0, 3.3, 2.7
DTD, 12.3, 13.5, 11.1
DXP, 14.2, 15.6, 12.8
DZM, 2.7, 2.9, 2.5
EBS, 10.9, 11.9, 9.9
ECI, 12.6, 13.8, 11.4
EID, 13.9, 15.2, 12.6
FDT, 39.2, 43.1, 35.3
FID, 2.4, 2.6, 2.2
GKM, 13.4, 14.7, 12.1
GLT, 61.9, 68.0, 55.8
GMX, 25.0, 27.5, 22.5
HAD, 45.0, 49.5, 40.5
HAT, 38.4, 42.2, 34.6
HBE, 9.0, 9.9, 8.1
HBS, 2.6, 2.8, 2.4
HCC, 16.7, 18.3, 15.1
HCT, 20.2, 22.2, 18.2
HDA, 8.5, 9.3, 7.7
HEV, 12.0, 13.2, 10.8
HGM, 40.0, 44.0, 36.0
HHC, 99.9, 109.8, 90.0
HHG, 6.0, 6.6, 5.4
HJS, 22.3, 24.5, 20.1
HKB, 2.3, 2.5, 2.1
HKT, 2.3, 2.5, 2.1
HLC, 7.0, 7.7, 6.3
HLD, 19.1, 21.0, 17.2
HLY, 15.9, 17.4, 14.4
HMH, 10.2, 11.2, 9.2
HNM, 3.5, 3.8, 3.2
HOM, 4.1, 4.5, 3.7
HPM, 15.0, 16.5, 13.5
HST, 6.8, 7.4, 6.2
HTC, 28.5, 31.3, 25.7
HTP, 5.1, 5.6, 4.6
HUT, 8.8, 9.6, 8.0
HVA, 3.9, 4.2, 3.6
HVT, 48.0, 52.8, 43.2
ICG, 6.1, 6.7, 5.5
IDJ, 3.0, 3.3, 2.7
IDV, 32.5, 35.7, 29.3
INC, 13.2, 14.5, 11.9
INN, 62.4, 68.6, 56.2
ITQ, 3.0, 3.3, 2.7
IVS, 9.2, 10.1, 8.3
KDM, 2.7, 2.9, 2.5
KHB, 0.8, 0.9, 0.7
KHL, 0.4, 0.5, 0.3
KHS, 13.5, 14.8, 12.2
KKC, 15.0, 16.5, 13.5
KLF, 2.4, 2.6, 2.2
KMT, 8.8, 9.6, 8.0
KSD, 4.0, 4.4, 3.6
KSK, 1.1, 1.2, 1.0
KSQ, 1.7, 1.8, 1.6
KST, 18.1, 19.9, 16.3
KTS, 24.4, 26.8, 22.0
KTT, 5.9, 6.4, 5.4
KVC, 2.7, 2.9, 2.5
L14, 56.7, 62.3, 51.1
L18, 8.6, 9.4, 7.8
L35, 5.0, 5.5, 4.5
L43, 3.5, 3.8, 3.2
L44, 2.2, 2.4, 2.0
L61, 17.0, 18.7, 15.3
L62, 7.5, 8.2, 6.8
LAS, 13.8, 15.1, 12.5
LBE, 16.0, 17.6, 14.4
LCD, 6.3, 6.9, 5.7
LCS, 4.2, 4.6, 3.8
LDP, 28.6, 31.4, 25.8
LHC, 55.6, 61.1, 50.1
LIG, 3.9, 4.2, 3.6
LM7, 3.1, 3.4, 2.8
LO5, 4.7, 5.1, 4.3
LTC, 3.3, 3.6, 3.0
LUT, 2.2, 2.4, 2.0
MAC, 7.8, 8.5, 7.1
MAS, 78.5, 86.3, 70.7
MBG, 2.6, 2.8, 2.4
MBS, 18.6, 20.4, 16.8
MCC, 13.8, 15.1, 12.5
MCF, 15.7, 17.2, 14.2
MCO, 1.9, 2.0, 1.8
MDC, 4.9, 5.3, 4.5
MEC, 3.4, 3.7, 3.1
MEL, 8.8, 9.6, 8.0
MHL, 6.5, 7.1, 5.9
MIM, 14.8, 16.2, 13.4
MKV, 11.8, 12.9, 10.7
MLS, 8.3, 9.1, 7.5
MNC, 4.2, 4.6, 3.8
MPT, 2.7, 2.9, 2.5
MSC, 13.4, 14.7, 12.1
MST, 3.1, 3.4, 2.8
NAG, 6.3, 6.9, 5.7
NBC, 7.3, 8.0, 6.6
NBP, 15.0, 16.5, 13.5
NBW, 16.7, 18.3, 15.1
NDF, 3.0, 3.3, 2.7
NDN, 15.8, 17.3, 14.3
NDX, 14.9, 16.3, 13.5
NET, 24.9, 27.3, 22.5
NFC, 10.0, 11.0, 9.0
NGC, 12.0, 13.2, 10.8
NHA, 12.0, 13.2, 10.8
NHC, 34.0, 37.4, 30.6
NHP, 1.7, 1.8, 1.6
NSH, 11.6, 12.7, 10.5
NST, 16.0, 17.6, 14.4
NTP, 63.0, 69.3, 56.7
NVB, 9.5, 10.4, 8.6
OCH, 4.7, 5.1, 4.3
ONE, 5.0, 5.5, 4.5
ORS, 2.7, 2.9, 2.5
PBP, 12.0, 13.2, 10.8
PCE, 11.0, 12.1, 9.9
PCG, 11.8, 12.9, 10.7
PCN, 3.2, 3.5, 2.9
PCT, 8.8, 9.6, 8.0
PDB, 10.0, 11.0, 9.0
PDC, 4.5, 4.9, 4.1
PEN, 9.0, 9.9, 8.1
PGS, 33.2, 36.5, 29.9
PGT, 3.5, 3.8, 3.2
PHC, 17.6, 19.3, 15.9
PHP, 12.9, 14.1, 11.7
PIC, 15.5, 17.0, 14.0
PIV, 4.9, 5.3, 4.5
PJC, 31.1, 34.2, 28.0
PLC, 20.0, 22.0, 18.0
PMB, 9.0, 9.9, 8.1
PMC, 65.0, 71.5, 58.5
PMP, 16.7, 18.3, 15.1
PMS, 16.4, 18.0, 14.8
POT, 19.4, 21.3, 17.5
PPE, 13.1, 14.4, 11.8
PPP, 11.5, 12.6, 10.4
PPS, 8.9, 9.7, 8.1
PPY, 17.0, 18.7, 15.3
PRC, 18.5, 20.3, 16.7
PSC, 16.5, 18.1, 14.9
PSD, 16.0, 17.6, 14.4
PSE, 9.6, 10.5, 8.7
PSI, 4.5, 4.9, 4.1
PSW, 9.8, 10.7, 8.9
PTD, 13.5, 14.8, 12.2
PTI, 22.0, 24.2, 19.8
